Category,Item,Quantity,Unit_Price_EUR,Total_EUR,Recurring_Frequency,Notes
B2B Proposal,Sonic Logo Composition,1,4500,4500,One-time,432Hz Verdi tuned master identity
B2B Proposal,Interactive 3D Web Engine,1,5250,5250,One-time,Three.js WebGL & DSP Waveform
B2B Proposal,Acoustic Engineering Support,15,150,2250,One-time,On-site studio & spatial tuning
B2B Proposal,Annual Maintenance & Sync,1,2400,2400,Annual,Cloud streaming & catalog sync
Passive Revenue,Active Streaming Tracks,300,0.0033,14850,Monthly,500 daily plays/track @ 30 days
Grant Pipeline,Hessen Digitalbonus WIBank,1,50000,50000,Non-dilutive,Hessen state government grant
Grant Pipeline,Bundes Musikfonds,1,50000,50000,Non-dilutive,Federal contemporary music grant
Grant Pipeline,EU EIT Culture & Creativity,1,30000,30000,Non-dilutive,European cross-border innovation
Couture Lookbook,Cashmere Scarf Bordeaux,100,280,28000,Inventory,100% Mongolian Cashmere
Couture Lookbook,18K Tuning Fork Pendant,50,650,32500,Inventory,Solid 18K Gold engraved 432Hz
Couture Lookbook,Calfskin Messenger Bag,30,1200,36000,Inventory,Handcrafted in Offenbach
VIP Event,October Party VIP Tickets,100,350,35000,Event,All-inclusive Grand Cru & Concert
